province,value,,,,
北京,3285317.95 ,,,,
深圳,2063931.02 ,,,,
上海,1976347.46 ,,,,
广东,1614273.10 ,,,,
河南,1432509.99 ,,,,
山东,1187320.76 ,,,,
江苏,1118079.94 ,,,,
云南,1062498.79 ,,,,
黑龙江,978823.80 ,,,,
江西,746994.00 ,,,,
内蒙古,627580.02 ,,,,
香港,518741.89 ,,,,
山西,382385.24 ,,,,
陕西,381356.00 ,,,,
浙江,353900.00 ,,,,
贵州,347118.40 ,,,,
河北,288035.12 ,,,,
新疆,274522.58 ,,,,
福建,268363.01 ,,,,
安徽,260634.95 ,,,,
湖北,232650.00 ,,,,
四川,225861.00 ,,,,
西藏,143018.00 ,,,,
吉林,109400.00 ,,,,
青海,97000.00 ,,,,
重庆,82271.80 ,,,,
宁夏,40750.03 ,,,,
澳门,34616.40 ,,,,
辽宁,30614.73 ,,,,
天津,3500.00 ,,,,
甘肃,0.00 ,,,,
广西,0.00 ,,,,
湖南,0.00 ,,,,
,,,,,
